;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15;N16
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;135785.30594139156;0;0;0;0;0;0
3;0;0;0;102170.05311200529;0;0;0;0;0;0;0;102170.05311200529;0;102170.05311200529;102170.05311200529
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;138367.40360271832;0;0;0;0;0;0
6;104133.37499846958;104133.37499846958;104133.37499846958;0;104133.37499846958;104133.37499846958;104133.37499846958;104133.37499846958;0;104133.37499846958;104133.37499846958;0;104133.37499846958;0;0
7;0;0;0;103310.58588673495;0;0;0;0;0;0;0;103310.58588673495;0;103310.58588673495;103310.58588673495
8;0;0;0;0;0;0;0;0;136696.50368936418;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;131079.611978706;0;0;0;0;0;0
12;0;0;0;122797.60777449947;0;0;0;0;0;0;0;122797.60777449947;0;122797.60777449947;122797.60777449947
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;112206.26111890988;112206.26111890988;112206.26111890988;0;112206.26111890988;112206.26111890988;112206.26111890988;112206.26111890988;122890.82970558149;112206.26111890988;112206.26111890988;0;112206.26111890988;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;109257.39482592043;0;0;0;0;113602.65205975375;0;0;109257.39482592043;0;109257.39482592043;109257.39482592043
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;109266.34081285392;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;101619.98269468706;0;0;0;0;0;0;0;101619.98269468706;0;101619.98269468706;101619.98269468706
23;107321.09511222415;107321.09511222415;107321.09511222415;0;107321.09511222415;107321.09511222415;107321.09511222415;107321.09511222415;107149.82907030817;107321.09511222415;107321.09511222415;0;107321.09511222415;0;0
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;0;105487.48560330342;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;118059.42099162223;0;0;0;0;0;0;0;118059.42099162223;0;118059.42099162223;118059.42099162223
29;0;0;0;0;0;0;0;0;103271.75437127399;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;100845.31781522412;100845.31781522412;100845.31781522412;0;100845.31781522412;100845.31781522412;100845.31781522412;100845.31781522412;101409.20499276137;100845.31781522412;100845.31781522412;0;100845.31781522412;0;0
33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;0;0;0;113611.03001521806;0;0;0;0;0;0;0;113611.03001521806;0;113611.03001521806;113611.03001521806
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0;0;0;0;0;0;0;0;132394.32801235188;0;0;0;0;0;0
37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
